의안ID,의안번호,법안명,카테고리,제안자,대표발의자,제안일,소관위원회,처리상태,처리단계,처리결과,상임위회부일,상임위처리일,상임위결과,법사위회부일,법사위처리일,법사위결과,상태변경,상세링크,AI요약,최종수집일
PRC_U2U6T0T5S0S7R1M0N1L4M2K4J9J6R8,2218912,노동조합 및 노동관계조정법 일부개정법률안,기후에너지환경노동위,"박수민의원(국민의힘, 초선, 서울 강남구을) 등 10인",박수민,2026-05-11,기후에너지환경노동위원회,상임위 심사,상임위 심사,심사중,2026-05-12,,,,,,,https://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_U2U6T0T5S0S7R1M0N1L4M2K4J9J6R8,,2026-08-30 09:18
PRC_L2T6R0S5Q0R6P1Q6X0W8X5V3V9U0V1,2218911,폐기물관리법 일부개정법률안,기후에너지환경노동위,"문진석의원(민주당, 재선, 충남 천안시갑) 등 10인",문진석,2026-05-11,기후에너지환경노동위원회,상임위 심사,상임위 심사,심사중,2026-05-12,,,,,,,https://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_L2T6R0S5Q0R6P1Q6X0W8X5V3V9U0V1,,2026-08-30 09:18
PRC_J2H6I0Q4Q2P3P1N5M3M3I3J7H0I3G0,2218910,조세특례제한법 일부개정법률안,재정경제기획위,"서천호의원(국민의힘, 초선, 경남 사천시남해군하동군) 등 11인",서천호,2026-05-11,재정경제기획위원회,상임위 심사,상임위 심사,심사중,2026-05-12,,,,,,,https://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_J2H6I0Q4Q2P3P1N5M3M3I3J7H0I3G0,,2026-08-30 09:18
PRC_G2D6B0B4A2A9Z0H9H5F9G5F4F0D6M0,2218909,항만운송사업법 일부개정법률안,농해수위,"송재봉의원(민주당, 초선, 충북 청주시청원구) 등 13인",송재봉,2026-05-11,농림축산식품해양수산위원회,상임위 심사,상임위 심사,심사중,2026-05-12,,,,,,,https://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_G2D6B0B4A2A9Z0H9H5F9G5F4F0D6M0,,2026-08-30 09:18
PRC_I2I6E0F4D2C1C1A7B3J5K4I3H3H9G2,2218908,조세특례제한법 일부개정법률안,재정경제기획위,"이해민의원(조국혁신당, 초선, 비례대표) 등 15인",이해민,2026-05-11,재정경제기획위원회,상임위 심사,상임위 심사,심사중,2026-05-12,,,,,,,https://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_I2I6E0F4D2C1C1A7B3J5K4I3H3H9G2,,2026-08-30 09:18
PRC_J2K6I0J5H0I4G1H5O2N3O1M7N1L4L9,2218907,주한미군기지 이전에 따른 평택시 등의 지원 등에 관한 특별법 일부개정법률안,국방위,"서왕진의원(조국혁신당, 초선, 비례대표) 등 12인",서왕진,2026-05-11,국방위원회,상임위 심사,상임위 심사,심사중,2026-05-12,,,,,,,https://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_J2K6I0J5H0I4G1H5O2N3O1M7N1L4L9,,2026-08-30 09:18
PRC_F2F6N0O4M2N7L1J1K0R4T0R5R9Q3O2,2218906,혁신건축 융복합 건축물 조성 지원법안,국토위,"전용기의원(민주당(前 더불어시민당), 재선, 경기 화성시정) 등 10인",전용기,2026-05-11,국토교통위원회,상임위 심사,상임위 심사,심사중,2026-05-12,,,,,,,https://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_F2F6N0O4M2N7L1J1K0R4T0R5R9Q3O2,,2026-08-30 09:18
PRC_M2K6K0I4J0I6I1Q3O4P5O3O6M1I0J8,2218905,지방교부세법 일부개정법률안,행안위,"임종득의원(국민의힘, 초선, 경북 영주시영양군봉화군) 등 10인",임종득,2026-05-11,행정안전위원회,상임위 심사,상임위 심사,심사중,2026-05-12,,,,,,,https://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_M2K6K0I4J0I6I1Q3O4P5O3O6M1I0J8,,2026-08-30 09:18
PRC_V2D6D0B4A2B2Z1A8V0W9V4T1T7S5S8,2218904,공동주택관리법 일부개정법률안,국토위,"이건태의원(민주당, 초선, 경기 부천시병) 등 11인",이건태,2026-05-08,국토교통위원회,상임위 심사,상임위 심사,심사중,2026-05-11,,,,,,,https://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_V2D6D0B4A2B2Z1A8V0W9V4T1T7S5S8,,2026-08-30 09:18
PRC_F2D6M0M5K0L4J1K5I2Q2R4P4Q4O2P3,2218903,한국산업은행법 일부개정법률안,정무위,"이건태의원(민주당, 초선, 경기 부천시병) 등 10인",이건태,2026-05-08,정무위원회,상임위 심사,상임위 심사,심사중,2026-05-11,,,,,,,https://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_F2D6M0M5K0L4J1K5I2Q2R4P4Q4O2P3,,2026-08-30 09:18
PRC_L2M6I0I5H0F4G1E5F2M3N0M7M9K1L3,2218902,중소기업창업 지원법 일부개정법률안,산자위,"이건태의원(민주당, 초선, 경기 부천시병) 등 10인",이건태,2026-05-08,산업통상자원중소벤처기업위원회,상임위 심사,상임위 심사,심사중,2026-05-11,,,,,,,https://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_L2M6I0I5H0F4G1E5F2M3N0M7M9K1L3,,2026-08-30 09:18
PRC_W2W6E0D4D0C9C0A9X1X6V2W0U9V6T4,2218901,전기사업법 일부개정법률안,기후에너지환경노동위,"구자근의원(국민의힘(前 통합당), 재선, 경북 구미시갑) 등 13인",구자근,2026-05-08,기후에너지환경노동위원회,상임위 심사,상임위 심사,심사중,2026-05-11,,,,,,,https://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_W2W6E0D4D0C9C0A9X1X6V2W0U9V6T4,,2026-08-30 09:18
PRC_M2I6I0H4F2F0E1F7M0N7M4K0K9I5J4,2218899,아동학대범죄의 처벌 등에 관한 특례법 일부개정법률안,법사위,"김기표의원(민주당, 초선, 경기 부천시을) 등 11인",김기표,2026-05-08,법제사법위원회,상임위 심사,상임위 심사,심사중,2026-05-11,,,,,,,https://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_M2I6I0H4F2F0E1F7M0N7M4K0K9I5J4,,2026-08-30 09:18
PRC_W2X6F0G4E2E3C1B5C4J3K3J5J5H6G0,2218898,다문화가족지원법 일부개정법률안,성평등가족위,"전진숙의원(민주당, 초선, 광주 북구을) 등 10인",전진숙,2026-05-08,성평등가족위원회,상임위 심사,상임위 심사,심사중,2026-05-11,,,,,,,https://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_W2X6F0G4E2E3C1B5C4J3K3J5J5H6G0,,2026-08-30 09:18
PRC_Z2Y6Y0W4S3T0R1R4Q0R2P1P3Y4W3W9,2218897,대규모유통업에서의 거래 공정화에 관한 법률 일부개정법률안,대규모유통업법,"강민국의원(국민의힘(前 통합당), 재선, 경남 진주시을) 등 10인",강민국,2026-05-08,정무위원회,상임위 심사,상임위 심사,심사중,2026-05-11,,,,,,,https://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_Z2Y6Y0W4S3T0R1R4Q0R2P1P3Y4W3W9,대규모유통업자의 늦장 대금 지급 관행을 고치기 위해 직매입 및 특약매입 거래의 대금 지급기한을 앞당깁니다.,2026-08-30 09:18
PRC_L2L6A0B4Z3A0Y1Z3X3F3F2E0F5D5D0,2218896,도로교통법 일부개정법률안,행안위,"이인선의원(국민의힘, 재선, 대구 수성구을) 등 11인",이인선,2026-05-08,행정안전위원회,상임위 심사,상임위 심사,심사중,2026-05-11,,,,,,,https://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_L2L6A0B4Z3A0Y1Z3X3F3F2E0F5D5D0,,2026-08-30 09:18
PRC_M2M6K0L5J0R4S1Q4Q1P2Q2O6O1E7C7,2218895,조세특례제한법 일부개정법률안,재정경제기획위,"김영환의원(민주당, 초선, 경기 고양시정) 등 11인",김영환,2026-05-08,재정경제기획위원회,상임위 심사,상임위 심사,심사중,2026-05-11,,,,,,,https://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_M2M6K0L5J0R4S1Q4Q1P2Q2O6O1E7C7,,2026-08-30 09:18
PRC_Z2Y6Y0X4X2W1R1S7Q4R0P3Q7O9P6X2,2218894,조세특례제한법 일부개정법률안,재정경제기획위,"이해민의원(조국혁신당, 초선, 비례대표) 등 14인",이해민,2026-05-08,재정경제기획위원회,상임위 심사,상임위 심사,심사중,2026-05-11,,,,,,,https://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_Z2Y6Y0X4X2W1R1S7Q4R0P3Q7O9P6X2,,2026-08-30 09:18
PRC_Y2W6W0E5F0D7C1C0B3B2X1Y5W4W0V1,2218893,주거기본법 일부개정법률안,국토위,"김미애의원(국민의힘(前 통합당), 재선, 부산 해운대구을) 등 11인",김미애,2026-05-08,국토교통위원회,상임위 심사,상임위 심사,심사중,2026-05-11,,,,,,,https://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_Y2W6W0E5F0D7C1C0B3B2X1Y5W4W0V1,,2026-08-30 09:18
PRC_M2M6L0J5K0I4J1Q4P1Q1O3P8N3N3K5,2218892,공간정보의 구축 및 관리 등에 관한 법률 일부개정법률안,국토위,"김영환의원(민주당, 초선, 경기 고양시정) 등 11인",김영환,2026-05-08,국토교통위원회,상임위 심사,상임위 심사,심사중,2026-05-11,,,,,,,https://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_M2M6L0J5K0I4J1Q4P1Q1O3P8N3N3K5,,2026-08-30 09:18
PRC_T2B6Z0A5Y0Z4X1Y5G5E8F5D5E5C8Y5,2218891,노인복지법 일부개정법률안,복지위,"박용갑의원(민주당, 초선, 대전 중구) 등 11인",박용갑,2026-05-08,보건복지위원회,상임위 심사,상임위 심사,심사중,2026-05-11,,,,,,,https://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_T2B6Z0A5Y0Z4X1Y5G5E8F5D5E5C8Y5,,2026-08-30 09:18
PRC_G2F6G0N5O0N6N1L4M4L0G1H0F0G4E9,2218890,인사청문회법 일부개정법률안,운영위,"김건의원(국민의미래, 초선, 비례대표) 등 12인",김건,2026-05-07,국회운영위원회,상임위 심사,상임위 심사,심사중,2026-05-08,,,,,,,https://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_G2F6G0N5O0N6N1L4M4L0G1H0F0G4E9,,2026-08-30 09:18
PRC_H2F6F0D4A2A4Y1Z4X2Y1X2E4F9D2E2,2218889,항공안전법 일부개정법률안,국토위,"강선영의원(국민의미래, 초선, 비례대표) 등 12인",강선영,2026-05-07,국토교통위원회,상임위 심사,상임위 심사,심사중,2026-05-08,,,,,,,https://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_H2F6F0D4A2A4Y1Z4X2Y1X2E4F9D2E2,,2026-08-30 09:18
PRC_T2R6S0A5A0Z6X1X4W3X9S4R6R6P6Q8,2218888,국회법 일부개정법률안,운영위,"김건의원(국민의미래, 초선, 비례대표) 등 12인",김건,2026-05-07,국회운영위원회,상임위 심사,상임위 심사,심사중,2026-05-08,,,,,,,https://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_T2R6S0A5A0Z6X1X4W3X9S4R6R6P6Q8,,2026-08-30 09:18
PRC_U2V6T0U4S2R4R1Z4Z1X2Z1X0X1V9E5,2218887,군용항공기 비행안전성 인증에 관한 법률 일부개정법률안,국방위,"강선영의원(국민의미래, 초선, 비례대표) 등 11인",강선영,2026-05-07,국방위원회,상임위 심사,상임위 심사,심사중,2026-05-08,,,,,,,https://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_U2V6T0U4S2R4R1Z4Z1X2Z1X0X1V9E5,,2026-08-30 09:18
PRC_X2Y6W0X5M0M6L1J4J3I9J1Q9P0P8O3,2218886,외무공무원법 일부개정법률안,외통위,"김건의원(국민의미래, 초선, 비례대표) 등 12인",김건,2026-05-07,외교통일위원회,상임위 심사,상임위 심사,심사중,2026-05-08,,,,,,,https://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_X2Y6W0X5M0M6L1J4J3I9J1Q9P0P8O3,,2026-08-30 09:18
PRC_L2M6K0K4T2T3R1S4R5P9P1L2M9K4J8,2218885,도로법 일부개정법률안,국토위,"문진석의원(민주당, 재선, 충남 천안시갑) 등 10인",문진석,2026-05-07,국토교통위원회,상임위 심사,상임위 심사,심사중,2026-05-08,,,,,,,https://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_L2M6K0K4T2T3R1S4R5P9P1L2M9K4J8,,2026-08-30 09:18
PRC_A2Z6A0H4I1H5F1F4E2F7A5B8Z5Y5Y0,2218884,부동산감독원의 설치 및 운영에 관한 법률안,정무위,"윤종오의원(진보당(前 무소속), 재선, 울산 북구) 등 10인",윤종오,2026-05-07,정무위원회,상임위 심사,상임위 심사,심사중,2026-05-08,,,,,,,https://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_A2Z6A0H4I1H5F1F4E2F7A5B8Z5Y5Y0,,2026-08-30 09:18
PRC_P2X6W0W4V1V5T1P4Q2O8P4N8O6M5N6,2218883,사법경찰관리의 직무를 수행할 자와 그 직무범위에 관한 법률 일부개정법률안,법사위,"윤종오의원(진보당(前 무소속), 재선, 울산 북구) 등 10인",윤종오,2026-05-07,법제사법위원회,상임위 심사,상임위 심사,심사중,2026-05-08,,,,,,,https://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_P2X6W0W4V1V5T1P4Q2O8P4N8O6M5N6,,2026-08-30 09:18
PRC_M2K6J0J4I1I0Q1R6P0O4O5N1N1V6W6,2218882,지방세특례제한법 일부개정법률안,행안위,"김형동의원(국민의힘(前 통합당), 재선, 경북 안동시예천군) 등 10인",김형동,2026-05-07,행정안전위원회,상임위 심사,상임위 심사,심사중,2026-05-08,,,,,,,https://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_M2K6J0J4I1I0Q1R6P0O4O5N1N1V6W6,,2026-08-30 09:18
PRC_K2G6G0F5D0E6C1D0L1L0J1K1J2H4H8,2218881,벤처투자 촉진에 관한 법률 일부개정법률안,산자위,"정태호의원(민주당, 재선, 서울 관악구을) 등 10인",정태호,2026-05-07,산업통상자원중소벤처기업위원회,상임위 심사,상임위 심사,심사중,2026-05-08,,,,,,,https://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_K2G6G0F5D0E6C1D0L1L0J1K1J2H4H8,,2026-08-30 09:18
PRC_H2H6G0E4F3N0N1L8M0L7J4J8R8S3Q2,2218880,양성평등기본법 일부개정법률안,성평등가족위,"서영교의원(민주당, 4선, 서울 중랑구갑) 등 12인",서영교,2026-05-07,성평등가족위원회,상임위 심사,상임위 심사,심사중,2026-05-08,,,,,,,https://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_H2H6G0E4F3N0N1L8M0L7J4J8R8S3Q2,,2026-08-30 09:18
PRC_D2B6C0A4B1J0J1H6G0H5F5F3O1O2M0,2218879,조세특례제한법 일부개정법률안,재정경제기획위,"김형동의원(국민의힘(前 통합당), 재선, 경북 안동시예천군) 등 10인",김형동,2026-05-07,재정경제기획위원회,상임위 심사,상임위 심사,심사중,2026-05-08,,,,,,,https://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_D2B6C0A4B1J0J1H6G0H5F5F3O1O2M0,,2026-08-30 09:18
PRC_G2E6E0D4E2L1M1K7J4J1H0I8Q7R4P1,2218878,조세특례제한법 일부개정법률안,재정경제기획위,"이해민의원(조국혁신당, 초선, 비례대표) 등 14인",이해민,2026-05-07,재정경제기획위원회,상임위 심사,상임위 심사,심사중,2026-05-08,,,,,,,https://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_G2E6E0D4E2L1M1K7J4J1H0I8Q7R4P1,,2026-08-30 09:18
PRC_H2F6E0E4C2E9Z1A6Y2X2X2V9W4E7E0,2218877,학교체육 진흥법 일부개정법률안,교육위,"이기헌의원(민주당, 초선, 경기 고양시병) 등 12인",이기헌,2026-05-07,교육위원회,상임위 심사,상임위 심사,심사중,2026-05-08,,,,,,,https://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_H2F6E0E4C2E9Z1A6Y2X2X2V9W4E7E0,,2026-08-30 09:18
PRC_D2D6M0M4K1L6K1I0I2E0F1D2E8C9A6,2218876,조세특례제한법 일부개정법률안,재정경제기획위,"박성훈의원(국민의힘, 초선, 부산 북구을) 등 10인",박성훈,2026-05-07,재정경제기획위원회,상임위 심사,상임위 심사,심사중,2026-05-08,,,,,,,https://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_D2D6M0M4K1L6K1I0I2E0F1D2E8C9A6,,2026-08-30 09:18
PRC_M2V6V0T4U2S7R1S4Z0A7Y2Z1Y7W7W1,2218875,독점규제 및 공정거래에 관한 법률 일부개정법률안,공정거래법,"김문수의원(민주당, 초선, 전남 순천시광양시곡성군구례군갑) 등 11인",김문수,2026-05-07,정무위원회,상임위 심사,상임위 심사,심사중,2026-05-08,,,,,,,https://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_M2V6V0T4U2S7R1S4Z0A7Y2Z1Y7W7W1,동일한 알고리즘을 공동으로 사용하여 가격이나 거래 조건을 설정하는 행위도 담합으로 추정하여 새로운 형태의 가격 조작을 규제하려 합니다.,2026-08-30 09:18
PRC_Z2A6W0U5V0T4U1S5S2B7Z0Z3X6Z8X2,2218874,기부금품의 모집·사용 및 기부문화 활성화에 관한 법률 일부개정법률안,행안위,"이기헌의원(민주당, 초선, 경기 고양시병) 등 10인",이기헌,2026-05-07,행정안전위원회,상임위 심사,상임위 심사,심사중,2026-05-08,,,,,,,https://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_Z2A6W0U5V0T4U1S5S2B7Z0Z3X6Z8X2,,2026-08-30 09:18
PRC_S2R6S0Q3O3X0V0W9V5T3B1A0Z9A8H9,2218873,공동주택관리법 일부개정법률안,국토위,"김예지의원(국민의미래(前 미래한국당), 재선, 비례대표) 등 10인",김예지,2026-05-07,국토교통위원회,상임위 심사,상임위 심사,심사중,2026-05-08,,,,,,,https://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_S2R6S0Q3O3X0V0W9V5T3B1A0Z9A8H9,,2026-08-30 09:18
PRC_F2A6Y0Q4O3U0Z1A2Y5D9U0O8L8E8D8,2218863,용산공원 조성 특별법 일부개정법률안(대안),국토위,국토교통위원장,,2026-05-06,국토교통위원회,본회의 의결,본회의 의결,심사중,2026-04-30,2026-04-30,대안가결,2026-05-06,2026-05-06,수정가결,,https://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_F2A6Y0Q4O3U0Z1A2Y5D9U0O8L8E8D8,,2026-08-30 09:18
PRC_L2E6E0V4A3Y0K1W2U5Z6C4O9J7R7D0,2218855,도시재정비 촉진을 위한 특별법 일부개정법률안(대안),국토위,국토교통위원장,,2026-05-06,국토교통위원회,본회의 의결,본회의 의결,심사중,2026-04-30,2026-04-30,대안가결,2026-05-06,2026-05-06,수정가결,,https://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_L2E6E0V4A3Y0K1W2U5Z6C4O9J7R7D0,,2026-08-30 09:18
PRC_Y2X6F0F4D1E7D2D2B1J1K3I9J5H2I4,2218828,조직사기 피해방지 및 피해자 보호 등에 관한 특별법안,법사위,"조배숙의원(국민의미래(前 국민의당), 5선, 비례대표) 등 59인",조배숙,2026-05-06,법제사법위원회,상임위 심사,상임위 심사,심사중,2026-05-07,,,,,,,https://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_Y2X6F0F4D1E7D2D2B1J1K3I9J5H2I4,,2026-08-30 09:18
PRC_S2T6R0S5R0P4P1X0Y5W3X3V5T2U2Q9,2218827,여객자동차 운수사업법 일부개정법률안,국토위,"이연희의원(민주당, 초선, 충북 청주시흥덕구) 등 15인",이연희,2026-05-06,국토교통위원회,상임위 심사,상임위 심사,심사중,2026-05-07,,,,,,,https://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_S2T6R0S5R0P4P1X0Y5W3X3V5T2U2Q9,,2026-08-30 09:18
PRC_B2B6A0Y4Z2H1H1F3G2F7F5D2E5T2R3,2218826,저출산·고령사회기본법 일부개정법률안,복지위,"안상훈의원(국민의미래, 초선, 비례대표) 등 11인",안상훈,2026-05-06,보건복지위원회,상임위 심사,상임위 심사,심사중,2026-05-07,,,,,,,https://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_B2B6A0Y4Z2H1H1F3G2F7F5D2E5T2R3,,2026-08-30 09:18
PRC_V2W6U0V4T2U1C1C3A2Z6A5Y8Y7G7H1,2218825,의료·요양 등 지역 돌봄의 통합지원에 관한 법률 일부개정법률안,복지위,"안상훈의원(국민의미래, 초선, 비례대표) 등 11인",안상훈,2026-05-06,보건복지위원회,상임위 심사,상임위 심사,심사중,2026-05-07,,,,,,,https://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_V2W6U0V4T2U1C1C3A2Z6A5Y8Y7G7H1,,2026-08-30 09:18
PRC_Y2W6X0W4W2E7D0D9B0C0A4B7J4H0I8,2218824,응급의료에 관한 법률 일부개정법률안,복지위,"장종태의원(민주당, 초선, 대전 서구갑) 등 11인",장종태,2026-05-06,보건복지위원회,상임위 심사,상임위 심사,심사중,2026-05-07,,,,,,,https://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_Y2W6X0W4W2E7D0D9B0C0A4B7J4H0I8,,2026-08-30 09:18
PRC_P2O6O0N4N2M1M1U3V2T6R1S0Q2R5Z7,2218823,금융실명거래 및 비밀보장에 관한 법률 일부개정법률안,정무위,"안상훈의원(국민의미래, 초선, 비례대표) 등 10인",안상훈,2026-05-06,정무위원회,상임위 심사,상임위 심사,심사중,2026-05-07,,,,,,,https://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_P2O6O0N4N2M1M1U3V2T6R1S0Q2R5Z7,,2026-08-30 09:18
PRC_V2T6U0Q4Q2P3N1O0M1N4V0T9U8S8T6,2218821,행정중심복합도시 국립박물관단지 운영 및 지원에 관한 법률 일부개정법률안,국토위,"안태준의원(민주당, 초선, 경기 광주시을) 등 11인",안태준,2026-05-06,국토교통위원회,상임위 심사,상임위 심사,심사중,2026-05-07,,,,,,,https://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_V2T6U0Q4Q2P3N1O0M1N4V0T9U8S8T6,,2026-08-30 09:18
PRC_O2P6N0L5M0K4L1T0T5S4S3R2P7Q5Y4,2218820,토지이용규제 기본법 일부개정법률안,국토위,"이연희의원(민주당, 초선, 충북 청주시흥덕구) 등 15인",이연희,2026-05-06,국토교통위원회,상임위 심사,상임위 심사,심사중,2026-05-07,,,,,,,https://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_O2P6N0L5M0K4L1T0T5S4S3R2P7Q5Y4,,2026-08-30 09:18
PRC_G2C6B0B5Z0A4Y1Z1H4F0G2E7F9D2E7,2218819,조세특례제한법 일부개정법률안,재정경제기획위,"고동진의원(국민의힘, 초선, 서울 강남구병) 등 10인",고동진,2026-05-06,재정경제기획위원회,상임위 심사,상임위 심사,심사중,2026-05-07,,,,,,,https://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_G2C6B0B5Z0A4Y1Z1H4F0G2E7F9D2E7,,2026-08-30 09:18
PRC_R2P6Q0O4N0N6V1W7U1V6T5S9S3A8A8,2218817,정보통신망 이용촉진 및 정보보호 등에 관한 법률 일부개정법률안,과방위,"김대식의원(무소속, 초선, 강원 1부) 등 12인",김대식,2026-05-06,과학기술정보방송통신위원회,상임위 심사,상임위 심사,심사중,2026-05-07,,,,,,,https://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_R2P6Q0O4N0N6V1W7U1V6T5S9S3A8A8,,2026-08-30 09:18
PRC_P2N6N0M4N2L8T1T1S1T8R1R4Q4Y1Y3,2218816,노후계획도시 정비 및 지원에 관한 특별법 일부개정법률안,국토위,"김기표의원(민주당, 초선, 경기 부천시을) 등 12인",김기표,2026-05-06,국토교통위원회,상임위 심사,상임위 심사,심사중,2026-05-07,,,,,,,https://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_P2N6N0M4N2L8T1T1S1T8R1R4Q4Y1Y3,,2026-08-30 09:18
PRC_U2U6S0R5S0Z6A0Z8Z5X2Y1X2S4T5R8,2218815,부정경쟁방지 및 영업비밀보호에 관한 법률 일부개정법률안,산자위,"김미애의원(국민의힘(前 통합당), 재선, 부산 해운대구을) 등 10인",김미애,2026-05-06,산업통상자원중소벤처기업위원회,상임위 심사,상임위 심사,심사중,2026-05-07,,,,,,,https://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_U2U6S0R5S0Z6A0Z8Z5X2Y1X2S4T5R8,,2026-08-30 09:18
PRC_Q2R6P0Q4O3O0N1J5J3H3I4G4H7F7G8,2218814,국회법 일부개정법률안,운영위,"김미애의원(국민의힘(前 통합당), 재선, 부산 해운대구을) 등 33인",김미애,2026-05-06,국회운영위원회,상임위 심사,상임위 심사,심사중,2026-05-07,,,,,,,https://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_Q2R6P0Q4O3O0N1J5J3H3I4G4H7F7G8,,2026-08-30 09:18
PRC_C2D6B0Z4A2I7I1H4H0G8G4F6M4N0L1,2218812,국민기초생활 보장법 일부개정법률안,복지위,"김문수의원(민주당, 초선, 전남 순천시광양시곡성군구례군갑) 등 12인",김문수,2026-05-06,보건복지위원회,상임위 심사,상임위 심사,심사중,2026-05-07,,,,,,,https://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_C2D6B0Z4A2I7I1H4H0G8G4F6M4N0L1,,2026-08-30 09:18
PRC_Q2O6O0N4V2V8T1U0T5R5S0Z9A2Z2Z9,2218811,재한외국인 처우 기본법 일부개정법률안,법사위,"전현희의원(민주당, 3선, 서울 중구성동구갑) 등 12인",전현희,2026-05-06,법제사법위원회,상임위 심사,상임위 심사,심사중,2026-05-07,,,,,,,https://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_Q2O6O0N4V2V8T1U0T5R5S0Z9A2Z2Z9,,2026-08-30 09:18
PRC_H2H6G0E4F2N0N1M6M4L3J2J8S0S3Q8,2218810,상법 일부개정법률안,법사위,"이훈기의원(민주당, 초선, 인천 남동구을) 등 11인",이훈기,2026-05-06,법제사법위원회,상임위 심사,상임위 심사,심사중,2026-05-07,,,,,,,https://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_H2H6G0E4F2N0N1M6M4L3J2J8S0S3Q8,,2026-08-30 09:18
PRC_D2D6B0C4A2B4Z1A0I3G2H3F3G7E7F6,2218809,의사상자 등 예우 및 지원에 관한 법률 일부개정법률안,복지위,"송옥주의원(민주당, 3선, 경기 화성시갑) 등 10인",송옥주,2026-05-06,보건복지위원회,상임위 심사,상임위 심사,심사중,2026-05-07,,,,,,,https://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_D2D6B0C4A2B4Z1A0I3G2H3F3G7E7F6,,2026-08-30 09:18
PRC_M2K6S0T3R0R4Q1R4P3P0L5L2K4I4J5,2218808,조세특례제한법 일부개정법률안,재정경제기획위,"엄태영의원(국민의힘(前 통합당), 재선, 충북 제천시단양군) 등 10인",엄태영,2026-05-06,재정경제기획위원회,상임위 심사,상임위 심사,심사중,2026-05-07,,,,,,,https://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_M2K6S0T3R0R4Q1R4P3P0L5L2K4I4J5,,2026-08-30 09:18
PRC_G2G6F0D4D3C0D1Y0X0X4W0X5V9V6D6,2218807,화재의 예방 및 안전관리에 관한 법률 일부개정법률안,행안위,"김예지의원(국민의미래(前 미래한국당), 재선, 비례대표) 등 13인",김예지,2026-05-06,행정안전위원회,상임위 심사,상임위 심사,심사중,2026-05-07,,,,,,,https://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_G2G6F0D4D3C0D1Y0X0X4W0X5V9V6D6,,2026-08-30 09:18
